,Very Important,Important,Considered,Not Considered
Academic,,,,
Rigor of secondary school record,x,,,
Class rank,x,,,
Academic GPA,x,,,
Standardized test scores,,,x,
Application Essay,x,,,
Recommendation(s),x,,,
Nonacademic,,,,
Interview,,,,x
Extracurricular activities,,x,,
Talent/ability,x,,,
Character/personal qualities,x,,,
First generation,,,x,
Alumni/ae relation,,,x,
Geographical residence,,,x,
State residency,,,x,
Religious affiliation/commitment,,,,x
Racial/ethnic status,,,x,
Volunteer work,,,x,
Work experience,,,x,
Level of applicant’s interest,,,,x
