,Category,Diploma/Certificates,Associate,Bachelor’s,
,,,,,Include
Agriculture,,,,,01
Natural resources and conservation,,,,0.01,03
Architecture,,,,,04
"Area, ethnic, and gender studies",,,,0.01,05
Communication/journalism,,,,,09
Communication technologies,,,,,10
Computer and information sciences,,,,0.11,11
Personal and culinary services,,,,,12
Education,,,,,13
Engineering,,,,0.05,14
Engineering technologies,,,,,15
"Foreign languages, literatures, and linguistics",,,,0.02,16
Family and consumer sciences,,,,,19
Law/legal studies,,,,,22
English,,,,0.03,23
Liberal arts/general studies,,,,,24
Library science,,,,,25
Biological/life sciences,,,,0.14,26
Mathematics and statistics,,,,0.12,27
Military science and military technologies,,,,,28 & 29
Interdisciplinary studies,,,,,30
Parks and recreation,,,,,31
Philosophy and religious studies,,,,0.02,38
Theology and religious vocations,,,,,39
Physical sciences,,,,0.06,40
Science technologies,,,,,41
Psychology,,,,0.04,42
"Homeland Security, law enforcement, firefighting, and",,,,,43
Public administration and social services,,,,,44
Social sciences,,,,0.26,45
Construction trades,,,,,46
Mechanic and repair technologies,,,,,47
Precision production,,,,,48
Transportation and materials moving,,,,,49
Visual and performing arts,,,,0.04,50
Health professions and related programs,,,,,51
Business/marketing,,,,,52
History,,,,0.09,54
Other,,,,,
