,Category,Diploma/Certificates,Associate,Bachelor’s,
,,,,,to Include
Agriculture,,,,,01
Natural resources and conservation,,,,2.0%,03
Architecture,,,,1.1%,04
"Area, ethnic, and gender studies",,,,5.0%,05
Communication/journalism,,,,,09
Communication technologies,,,,,10
Computer and information sciences,,,,7.7%,11
Personal and culinary services,,,,,12
Education,,,,,13
Engineering,,,,5.1%,14
Engineering technologies,,,,,15
"Foreign languages, literatures, and linguistics",,,,2.2%,16
Family and consumer sciences,,,,,19
Law/legal studies,,,,,22
English,,,,3.4%,23
Liberal arts/general studies,,,,0.7%,24
Library science,,,,,25
Biological/life sciences,,,,10.9%,26
Mathematics and statistics,,,,7.5%,27
Military science and military technologies,,,,,28 & 29
Interdisciplinary studies,,,,7.1%,30
Parks and recreation,,,,,31
Philosophy and religious studies,,,,2.0%,38
Theology and religious vocations,,,,,39
Physical sciences,,,,4.5%,40
Science technologies,,,,,41
Psychology,,,,4.8%,42
"Homeland Security, law enforcement, firefighting,",,,,,43
and protective services,,,,,
Public administration and social services,,,,,44
Social sciences,,,,25.8%,45
Construction trades,,,,,46
Mechanic and repair technologies,,,,,47
Precision production,,,,,48
Transportation and materials moving,,,,,49
Visual and performing arts,,,,4.7%,50
Health professions and related programs,,,,,51
Business/marketing,,,,,52
History,,,,5.6%,54
Other,,,,,
